scientificName,taxonRank,taxonomicStatus,namePublishedIn,taxonRemarks,acceptedNameUsage,parentNameUsage,taxonID,acceptedNameUsageID,parentNameUsageID,modified,modifiedBy,modifiedByID
Lycopodiales DC. ex Bercht. & J. Presl,order,accepted,Prir. Rostlin: 272 (1820),NA,NA,NA,cfd651cb3bc3d61924cb23e7f8bbe7ba,NA,NA,NA,NA,NA
Lycopodiaceae P. Beauv. ex Mirb.,family,accepted,Hist. Nat. Veg. (Lam. & Mirb.) 4: 293 (1802),"17 genera, ca. 470 spp. Phylogeny: Chen et al. (2021).",NA,Lycopodiales DC. ex Bercht. & J. Presl,381868bcdfc92b558798691c5180df85,NA,cfd651cb3bc3d61924cb23e7f8bbe7ba,NA,NA,NA
Huperziaceae Rothm.,family,synonym,"Feddes Repert. 66: 236 (1962), nom. nov.",NA,Lycopodiaceae P. Beauv. ex Mirb.,Lycopodiales DC. ex Bercht. & J. Presl,974fe6c0157f5701905e1b923ed888fd,381868bcdfc92b558798691c5180df85,cfd651cb3bc3d61924cb23e7f8bbe7ba,NA,NA,NA
Lycopodiellaceae Val. N. Tikhom.,family,synonym,Novosti Sist. Vyssh. Rast. 49: 149 (2018),NA,Lycopodiaceae P. Beauv. ex Mirb.,Lycopodiales DC. ex Bercht. & J. Presl,2fce52f52b90ffa4d655be61dc2b2a08,381868bcdfc92b558798691c5180df85,cfd651cb3bc3d61924cb23e7f8bbe7ba,NA,NA,NA
Phylloglossaceae Kunze,family,synonym,Bot. Zeitung (Berlin) 1: 722 (1843),NA,Lycopodiaceae P. Beauv. ex Mirb.,Lycopodiales DC. ex Bercht. & J. Presl,265cb6e77d9f71f77ab130b9200ecc3f,381868bcdfc92b558798691c5180df85,cfd651cb3bc3d61924cb23e7f8bbe7ba,NA,NA,NA
Urostachyaceae Rothm.,family,synonym,Feddes Repert. 54: 58 (1944) (nom. illeg.),NA,Lycopodiaceae P. Beauv. ex Mirb.,Lycopodiales DC. ex Bercht. & J. Presl,8638e15019bbb7aadffbad859141aa84,381868bcdfc92b558798691c5180df85,cfd651cb3bc3d61924cb23e7f8bbe7ba,NA,NA,NA
Huperzioideae W. H. Wagner & Beitel ex B. Øllg.,subfamily,accepted,Nordic J. Bot. 33(2): 195 (2014),NA,NA,Lycopodiaceae P. Beauv. ex Mirb.,8b6c9d344a98e44f2e64a932aff0a1e1,NA,381868bcdfc92b558798691c5180df85,NA,NA,NA
Huperzia Bernh.,genus,accepted,J. Bot. (Schrader) 1800(2): 126 (1801) ex Schrank & Mart. (1829),"Distribution: Probably only 25 spp. temperate, alpine and arctic, tropical Asian mountains. Many remaining species still need transfer into other split genera.",NA,Huperzioideae W. H. Wagner & Beitel ex B. Øllg.,0c2172c952d887939a98bd70225c8263,NA,8b6c9d344a98e44f2e64a932aff0a1e1,NA,NA,NA
Mirmau Adans.,genus,ambiguous synonym,"Fam. Pl. 2: 491 (1763) (p. p., nom. illegit.)",NA,Huperzia Bernh.,Huperzioideae W. H. Wagner & Beitel ex B. Øllg.,f6171bb4836b2bad401255c92857a95d,0c2172c952d887939a98bd70225c8263,8b6c9d344a98e44f2e64a932aff0a1e1,NA,NA,NA
Plananthus P. Beauv. ex Mirb.,genus,synonym,"Hist. Nat. Veg. (Lam. & Mirb.) 3: 476, 4: 310 (1802) (nom. superfl.)",NA,Huperzia Bernh.,Huperzioideae W. H. Wagner & Beitel ex B. Øllg.,c53766ce1081008b8768b812c644bb1b,0c2172c952d887939a98bd70225c8263,8b6c9d344a98e44f2e64a932aff0a1e1,NA,NA,NA
Selago Boehm.,genus,synonym,"Ludwig, Def. Gen. Pl., ed. Boehmer 484 (1760) (non L. 1753, nec Browne 1756, nec Hill (1757) nom. illeg.)",NA,Huperzia Bernh.,Huperzioideae W. H. Wagner & Beitel ex B. Øllg.,4c262dafc4d8d264e608bd978530e533,0c2172c952d887939a98bd70225c8263,8b6c9d344a98e44f2e64a932aff0a1e1,NA,NA,NA
Selago Hill,genus,synonym,"Brit. Herb. 533 (1757) (non L. 1753, nec Browne 1756, nom. inval.)",NA,Huperzia Bernh.,Huperzioideae W. H. Wagner & Beitel ex B. Øllg.,a9b996a7e99dd4aedc804901d5b44bd3,0c2172c952d887939a98bd70225c8263,8b6c9d344a98e44f2e64a932aff0a1e1,NA,NA,NA
Selago Schur,genus,synonym,"Enum. pl. Transsilv. 825. 1866 (non L. 1753, nec Browne 1756, nec Hill (1757))",NA,Huperzia Bernh.,Huperzioideae W. H. Wagner & Beitel ex B. Øllg.,df7477a6be31c709e8448cb062d8ce0c,0c2172c952d887939a98bd70225c8263,8b6c9d344a98e44f2e64a932aff0a1e1,NA,NA,NA
Urostachys Herter,genus,synonym,Beih. Bot. Centralbl. 39(2): 249 (1922) (nom. superfl.),NA,Huperzia Bernh.,Huperzioideae W. H. Wagner & Beitel ex B. Øllg.,ae24a42c423fc47e4b91e02258752802,0c2172c952d887939a98bd70225c8263,8b6c9d344a98e44f2e64a932aff0a1e1,NA,NA,NA
Phlegmariurus (Herter) Holub,genus,accepted,Preslia 36(1): 179 (1964),Distribution: Worldwide tropical. There is a clear distinction between a neotropical clade and an Old World clade but this is not sufficient to split two genera (Chen et al. 2021).,NA,Huperzioideae W. H. Wagner & Beitel ex B. Øllg.,9413eea6d7cf28af25a5f123642b5afc,NA,8b6c9d344a98e44f2e64a932aff0a1e1,NA,NA,NA
Phylloglossum Kunze,genus,accepted,Bot. Zeitung (Berlin) 1: 721 (1843),"Distribution: Australia, New Zealand",NA,Huperzioideae W. H. Wagner & Beitel ex B. Øllg.,9386064933eb4cca2beed49651b10195,NA,8b6c9d344a98e44f2e64a932aff0a1e1,NA,NA,NA
Lycopodiastroideae Li Bing Zhang & X. M. Zhou,subfamily,accepted,Indian Fern J. 38(1-2): 134 (2021),NA,NA,Lycopodiaceae P. Beauv. ex Mirb.,247bc6e0781b1f1dd1dcd97d737d0930,NA,381868bcdfc92b558798691c5180df85,NA,NA,NA
Lycopodiastrum Holub ex R. D. Dixit,genus,accepted,"J. Bombay Nat. Hist. Soc. 77(3): 540 (1981) (Holub, Preslia 47: 103 (1975), nom. inval.)","Distribution: Trop. Asia, S-China",NA,Lycopodiastroideae Li Bing Zhang & X. M. Zhou,03cdacc9af6bc356be12aa9e8ed998fb,NA,247bc6e0781b1f1dd1dcd97d737d0930,NA,NA,NA
Lycopodielloideae W. H. Wagner & Beitel ex B. Øllg.,subfamily,accepted,Nordic J. Bot. 33(2): 195 (2014),NA,NA,Lycopodiaceae P. Beauv. ex Mirb.,fe945d1c5e272575f410ae740fb72e39,NA,381868bcdfc92b558798691c5180df85,NA,NA,NA
"Brownseya Li Bing Zhang, L. D. Sheph., D. K. Chen, X. M. Zhou & H. He",genus,accepted,Taxon 71(1): 41 (2021),"Distribution: Australia, Papuasia, New Zealand, New Caledonia",NA,Lycopodielloideae W. H. Wagner & Beitel ex B. Øllg.,d19427592c6162693c1c8fa2e896e268,NA,fe945d1c5e272575f410ae740fb72e39,NA,NA,NA
Lateristachys Holub,genus,accepted,"Folia Geobot. Phytotax. 18: 440 (1983) (Preslia 47: 104 (1975), nom. inval.))","Distribution: Philippines, Australia, New Zealand",NA,Lycopodielloideae W. H. Wagner & Beitel ex B. Øllg.,5733418efd899e9449b0a86c171c4919,NA,fe945d1c5e272575f410ae740fb72e39,NA,NA,NA
Lycopodiella Holub,genus,accepted,Preslia 36: 22 (1964),Distribution: Holarctic and tropical America,NA,Lycopodielloideae W. H. Wagner & Beitel ex B. Øllg.,9251fe18946d7e3d42cedb01f6e4b18b,NA,fe945d1c5e272575f410ae740fb72e39,NA,NA,NA
Palhinhaea Franco & Vasc.,genus,accepted,"Bol. Soc. Broter. Ser. 2, 41: 24 (1967), nom. cons.","Distribution: Tropics and subtropics. Rank and status somewhat questionable, might also be treated as subgenus of Lycopodiella.",NA,Lycopodielloideae W. H. Wagner & Beitel ex B. Øllg.,c2e995c5407f54f22291d829ab380284,NA,fe945d1c5e272575f410ae740fb72e39,NA,NA,NA
Lepidotis Mirb.,genus,synonym,"Hist. Nat. Veg. (Lam. & Mirb.) 3: 477 (1802), nom. superfl., nom. rej.",NA,Palhinhaea Franco & Vasc.,Lycopodielloideae W. H. Wagner & Beitel ex B. Øllg.,2a073f769e0c03bcf0a8c5aa38c490c2,c2e995c5407f54f22291d829ab380284,fe945d1c5e272575f410ae740fb72e39,NA,NA,NA
Pseudolycopodiella Holub,genus,accepted,Folia Geobot. Phytotax. 18: 441 (1983),"Distribution: Widely scattered worldwide. Rank and status somewhat questionable, might also be treated as subgenus of Lycopodiella.",NA,Lycopodielloideae W. H. Wagner & Beitel ex B. Øllg.,da469a23846c913320e24b3d5aed27c6,NA,fe945d1c5e272575f410ae740fb72e39,NA,NA,NA
Lycopodioideae W. H. Wagner & Beitel ex B. Øllg.,subfamily,accepted,Nordic J. Bot. 33(2): 195 (2014),NA,NA,Lycopodiaceae P. Beauv. ex Mirb.,134040798af2303c437e0db15886d7a0,NA,381868bcdfc92b558798691c5180df85,NA,NA,NA
Austrolycopodium Holub,genus,accepted,Folia Geobot. Phytotax. 26(1): 91 (1991),"Distribution: Temperate southern hemisphere, mostly circumantarctic, 1 to tropical Africa",NA,Lycopodioideae W. H. Wagner & Beitel ex B. Øllg.,9cc654d9c698d3b88c8486f948d1aa83,NA,134040798af2303c437e0db15886d7a0,NA,NA,NA
Dendrolycopodium A. Haines,genus,accepted,Fam. Huperziac. Lycopodiac. New England 84 (2003),"Distribution: North America, E-Asia. Frequently re-included in Lycopodium s. lat. but accepted by PPG-I",NA,Lycopodioideae W. H. Wagner & Beitel ex B. Øllg.,c711f06c5b76f43462cbeda49a292d65,NA,134040798af2303c437e0db15886d7a0,NA,NA,NA
Diphasiastrum Holub,genus,accepted,Preslia 47: 104 (1975),"Distribution: Temperate northern hemisphere, 1 South Africa and Madagascar, 2 to tropical America",NA,Lycopodioideae W. H. Wagner & Beitel ex B. Øllg.,c74d32c11a65dd241f7bf7374ca3d7bf,NA,134040798af2303c437e0db15886d7a0,NA,NA,NA
Diphasium C. Presl ex Rothm.,genus,accepted,"Abh. Königl. Böhm. Ges. Wiss., Math.-Naturw. Cl. V, 5: 3: 883 (1845)",Distribution: Gondwanan. Frequently re-included in Diphasiastrum s. lat. but accepted by PPG-I,NA,Lycopodioideae W. H. Wagner & Beitel ex B. Øllg.,859872bad5e1f5804f8d170147141f2e,NA,134040798af2303c437e0db15886d7a0,NA,NA,NA
Lycopodium L.,genus,accepted,Sp. Pl. 2: 1100 (1753) s. str.,Distribution: Mainly temperate and subarctic regions,NA,Lycopodioideae W. H. Wagner & Beitel ex B. Øllg.,045bf73a3f2aa428c2cffd2dbdd55042,NA,134040798af2303c437e0db15886d7a0,NA,NA,NA
Clopodium Raf.,genus,synonym,Anal. nat. 205 (1815) (nom. inval.),NA,Lycopodium L.,Lycopodioideae W. H. Wagner & Beitel ex B. Øllg.,3a48316fa0518d0db7c3c2760dcb6d09,045bf73a3f2aa428c2cffd2dbdd55042,134040798af2303c437e0db15886d7a0,NA,NA,NA
Oxynemum Raf.,genus,synonym,Amer. Monthly Mag. & Crit. Rev. 2: 44 (1817),NA,Lycopodium L.,Lycopodioideae W. H. Wagner & Beitel ex B. Øllg.,640ed28ce212a317e7f627b6fe453b33,045bf73a3f2aa428c2cffd2dbdd55042,134040798af2303c437e0db15886d7a0,NA,NA,NA
Pseudodiphasium Holub,genus,accepted,Folia Geobot. Phytotax. 18: 440 (1983),"Distribution: Trop. Asia, Australia, New Zealand. Frequently re-included in Lycopodium s. lat. but accepted by PPG-I",NA,Lycopodioideae W. H. Wagner & Beitel ex B. Øllg.,ca90211b0224d74c2f6e7891290604cd,NA,134040798af2303c437e0db15886d7a0,NA,NA,NA
Pseudolycopodium Holub,genus,accepted,"Folia Geobot. Phytotax. 18: 441 (1983) (Preslia 47: 103 (1975), nom. inval.)","Distribution: Australia, New Zealand, New Caledonia. Frequently re-included in Lycopodium s. lat. but accepted by PPG-I",NA,Lycopodioideae W. H. Wagner & Beitel ex B. Øllg.,3706223f718fa5b1c12f87f6a1115dd5,NA,134040798af2303c437e0db15886d7a0,NA,NA,NA
Spinulum A. Haines,genus,accepted,Fam. Huperziac. Lycopodiac. New England 85 (2003),Distribution: Holarctic.,NA,Lycopodioideae W. H. Wagner & Beitel ex B. Øllg.,8185de950ad9daeb2e7617607b822e20,NA,134040798af2303c437e0db15886d7a0,NA,NA,NA
Isoetales Prantl,order,accepted,Lehrb. Bot.: 116 (1874),NA,NA,NA,5bc834df530f9f19e01fe3bf762123c6,NA,NA,NA,NA,NA
Isoetariae Koidz.,order,synonym,Acta Phytotax. Geobot. 7: 11 (1938),NA,Isoetales Prantl,NA,1c9f031970b795241d22804a03580426,5bc834df530f9f19e01fe3bf762123c6,NA,NA,NA,NA
Isoeteae Barlinge,order,synonym,Ord. Nat. Plant. 16 (1830),NA,Isoetales Prantl,NA,44077a141243ce9e68d5429857a4b256,5bc834df530f9f19e01fe3bf762123c6,NA,NA,NA,NA
Isoetaceae Rchb.,family,accepted,Bot. Damen: 309 (1828),"1 genus, ca. 190 spp.",NA,Isoetales Prantl,5ab611e0dd4e9a0c17e91dbbe4a0ee3b,NA,5bc834df530f9f19e01fe3bf762123c6,NA,NA,NA
Bothriaceae Dulac,family,synonym,Fl. Dépt. Hautes-Pyrenees 38 (1867),NA,Isoetaceae Rchb.,Isoetales Prantl,32eeb11e6e7a0aca5509ba099e78bb7e,5ab611e0dd4e9a0c17e91dbbe4a0ee3b,5bc834df530f9f19e01fe3bf762123c6,NA,NA,NA
Isoetes L.,genus,accepted,Sp. Pl. 2: 1100 (1753),Distribution: Worldwide. Many undescribed species remain. Latest checklist: Troia et al. (2016). Taxonomy especially in North America and in the Mediterranean quite disputed.,NA,Isoetaceae Rchb.,820e53a97a6c536e74d9a174573527b8,NA,5ab611e0dd4e9a0c17e91dbbe4a0ee3b,NA,NA,NA
Calamaria Boehm.,genus,synonym,Def. Gen. Pl. ed. Boehmer 500 (1760),NA,Isoetes L.,Isoetaceae Rchb.,41e19cbab5b325c3aa3c593ec1d61ea6,820e53a97a6c536e74d9a174573527b8,5ab611e0dd4e9a0c17e91dbbe4a0ee3b,NA,NA,NA
Cephaloceraton Gennari,genus,synonym,Comment. Soc. Critt. Ital. 1: 111 (1862),NA,Isoetes L.,Isoetaceae Rchb.,0f56dd1af0a8d202d4aa6503a76d71c3,820e53a97a6c536e74d9a174573527b8,5ab611e0dd4e9a0c17e91dbbe4a0ee3b,NA,NA,NA
Isoetella Gennari,genus,synonym,Comment. Soc. Critt. Ital. 1: 114 (1862),NA,Isoetes L.,Isoetaceae Rchb.,5ea725ab26c628e6050cdd2fccc6d918,820e53a97a6c536e74d9a174573527b8,5ab611e0dd4e9a0c17e91dbbe4a0ee3b,NA,NA,NA
Sivetes Raf.,genus,synonym,Med. Repos. 11. 5: 358 (1808),NA,Isoetes L.,Isoetaceae Rchb.,ba2e6ad511dfe31ce50fba289220eae2,820e53a97a6c536e74d9a174573527b8,5ab611e0dd4e9a0c17e91dbbe4a0ee3b,NA,NA,NA
Stylites Amstutz,genus,synonym,Ann. Missouri Bot. Gard. 44: 121 (1957),NA,Isoetes L.,Isoetaceae Rchb.,766a66faa4170d59aa1df3b18a5aeb73,820e53a97a6c536e74d9a174573527b8,5ab611e0dd4e9a0c17e91dbbe4a0ee3b,NA,NA,NA
Subularia Ray,genus,synonym,"Syn. Meth. Stirp. Brit., 283 (1696) (Pre-Linnaean)",NA,Isoetes L.,Isoetaceae Rchb.,3f6f919e497d9f7969a7c350b0bd960b,820e53a97a6c536e74d9a174573527b8,5ab611e0dd4e9a0c17e91dbbe4a0ee3b,NA,NA,NA
Selaginellales Prantl,order,accepted,Lehrb. Bot.: 116 (1874),NA,NA,NA,df979b22f5ed74b7f6d23d59ab839319,NA,NA,NA,NA,NA
Heterosporae Asch.,order,synonym,Syn. 1: 149 (1896),NA,Selaginellales Prantl,NA,3d77b9f35430495e7991b2075c2c80fc,df979b22f5ed74b7f6d23d59ab839319,NA,NA,NA,NA
Heterosporeae Prantl,order,synonym,"Lehrb. Bot., 116 (1874)",NA,Selaginellales Prantl,NA,aa75572bae5cb9093aef07f36f8de39a,df979b22f5ed74b7f6d23d59ab839319,NA,NA,NA,NA
Selaginellidae Pic. Serm.,order,synonym,"Pteridophyta, Vistas in Botany 456 (1961) (Subclass)",NA,Selaginellales Prantl,NA,dc08f77c44c9b8f3ce765d4b1a0c2eba,df979b22f5ed74b7f6d23d59ab839319,NA,NA,NA,NA
Selaginellineae Engl.,order,synonym,"Syllabus Pfl., 2. Aufl.: 64 (1898)",NA,Selaginellales Prantl,NA,9a54104511d46842f6c22d933d0e695c,df979b22f5ed74b7f6d23d59ab839319,NA,NA,NA,NA
Selagines Batsch,order,synonym,"Syn. Univ. Anal. Gen. Plant., 381 (1794)",NA,Selaginellales Prantl,NA,58f97804c5ee96f93c3b259ebfca0da6,df979b22f5ed74b7f6d23d59ab839319,NA,NA,NA,NA
Selaginellaceae Rchb.,family,accepted,Handb. Nat. Pflanzensyst. 163 (1837),"1-19 genera depending on genus concept, ca. 750 spp. The family has recently been split extensively by X.-M. Zhou & Li-Bing Zhang (2023).",NA,Selaginellales Prantl,358aa463a8fd574c5f5ebb5027a15253,NA,df979b22f5ed74b7f6d23d59ab839319,NA,NA,NA
Boreoselaginelloideae Li Bing Zhang & X. M. Zhou,subfamily,accepted,"Plant Diversity, https://doi.org/10.1016/j.pld.2023.07.003 (2023)",NA,NA,Selaginellaceae Rchb.,514ffa34d8e60f5d9543f007ef62158b,NA,358aa463a8fd574c5f5ebb5027a15253,NA,NA,NA
Boreoselaginella (Warb.) Li Bing Zhang & 887 X. M. Zhou,genus,accepted,"Plant Diversity, https://doi.org/10.1016/j.pld.2023.07.003 (2023)",Distribution: Himalayas to E-Asia and Siberia,NA,Boreoselaginelloideae Li Bing Zhang & X. M. Zhou,d6b9411e32b157deb2a9ef076812cc3a,NA,514ffa34d8e60f5d9543f007ef62158b,NA,NA,NA
Gymnogynoideae Li Bing Zhang & X. M. Zhou,subfamily,accepted,"Plant Diversity, https://doi.org/10.1016/j.pld.2023.07.003 (2023)",NA,NA,Selaginellaceae Rchb.,ebc58bc77f07f6f3fc6550fca3ffc92c,NA,358aa463a8fd574c5f5ebb5027a15253,NA,NA,NA
Afroselaginella Li Bing Zhang & X. M. Zhou,genus,accepted,"Plant Diversity, https://doi.org/10.1016/j.pld.2023.07.003 (2023)",Distribution: Tropical Africa,NA,Gymnogynoideae Li Bing Zhang & X. M. Zhou,e09493c4fe5f970d88a1476caed28013,NA,ebc58bc77f07f6f3fc6550fca3ffc92c,NA,NA,NA
Bryodesma Soják,genus,accepted,Preslia 64(2): 154 (1992 publ. 1993),"Distribution: Almost cosmopolitan, mostly in temperate areas, many in USA",NA,Gymnogynoideae Li Bing Zhang & X. M. Zhou,82fc70d6bd33bb7f79eeea0eede966b4,NA,ebc58bc77f07f6f3fc6550fca3ffc92c,NA,NA,NA
Ericetorum (Jermy) Li Bing Zhang & X. M. Zhou,genus,accepted,"Plant Diversity, https://doi.org/10.1016/j.pld.2023.07.003 (2023)","Distribution: Australia, Madagascar, South Africa (1), New Guinea (1)",NA,Gymnogynoideae Li Bing Zhang & X. M. Zhou,6f51699dab6e3c9ceaee00eeaa5e343e,NA,ebc58bc77f07f6f3fc6550fca3ffc92c,NA,NA,NA
Gymnogynum P. Beauv.,genus,accepted,"Mag. Encycl. 9, 5: 480 (1804), et Prodr. 103 (1805)","Distribution: Mostly tropical America, 1 tropical Africa, 1 Asia",NA,Gymnogynoideae Li Bing Zhang & X. M. Zhou,a2cee16b06043454dd6b9751d18c0de3,NA,ebc58bc77f07f6f3fc6550fca3ffc92c,NA,NA,NA
Lepidoselaginella Li Bing Zhang & X. M. Zhou,genus,accepted,"Plant Diversity, https://doi.org/10.1016/j.pld.2023.07.003 (2023)","Distribution: SW-USA to Costa Rica, mostly Mexico",NA,Gymnogynoideae Li Bing Zhang & X. M. Zhou,02fc451ae166753820fe5f616db3b600,NA,ebc58bc77f07f6f3fc6550fca3ffc92c,NA,NA,NA
Megaloselaginella Li Bing Zhang & X. M. Zhou,genus,accepted,"Plant Diversity, https://doi.org/10.1016/j.pld.2023.07.003 (2023)",Distribution: Tropical America,NA,Gymnogynoideae Li Bing Zhang & X. M. Zhou,b7148821e9677a5a8782ca5bfaa654e0,NA,ebc58bc77f07f6f3fc6550fca3ffc92c,NA,NA,NA
Lycopodioidoideae Li Bing Zhang & X. M. Zhou,subfamily,accepted,"Plant Diversity, https://doi.org/10.1016/j.pld.2023.07.003 (2023)",NA,NA,Selaginellaceae Rchb.,8e82b2b01e23470a9ea4f2f3f00ae16d,NA,358aa463a8fd574c5f5ebb5027a15253,NA,NA,NA
Didiclis P. Beauv.,genus,accepted,"Déterv. Hist. Nat. 3: 477, no. 1899 (1803), ex Lam. & Mirb., Hist. Nat., ed. nov., 4: 314 (1830)","Distribution: Tropical Old World and Pacific, only 1 in Central America",NA,Lycopodioidoideae Li Bing Zhang & X. M. Zhou,2d3ddaa62548517472e5c9719a86de6b,NA,8e82b2b01e23470a9ea4f2f3f00ae16d,NA,NA,NA
Hypopterygiopsis Sakurai,genus,accepted,Bot. Mag. (Tokyo) 57: 255 (1943),"Distribution: tropical Old World including Pacific, north to S-China",NA,Lycopodioidoideae Li Bing Zhang & X. M. Zhou,ab769629ea34c3076ddf3a6119cd315f,NA,8e82b2b01e23470a9ea4f2f3f00ae16d,NA,NA,NA
Lycopodioides Boehm.,genus,accepted,Def. Gen. Pl. ed. Boehmer 485 (1760),"Distribution: Europe and temperate Asia, 1 in Java, 1 tropical Africa",NA,Lycopodioidoideae Li Bing Zhang & X. M. Zhou,01bfe72ea55288f12b02b34d998f9ae0,NA,8e82b2b01e23470a9ea4f2f3f00ae16d,NA,NA,NA
Lycopodioides Kuntze,genus,synonym,"Revis. Gen. Pl. 2: 824 (1891), nom. superfl.",NA,Lycopodioides Boehm.,Lycopodioidoideae Li Bing Zhang & X. M. Zhou,c361d5b7bd0fe96618efda7978d0932b,01bfe72ea55288f12b02b34d998f9ae0,8e82b2b01e23470a9ea4f2f3f00ae16d,NA,NA,NA
Trispermium Hill,genus,synonym,Gen. Hist. Nat. 2 (Hist. Pl.) 112 (1773),NA,Lycopodioides Boehm.,Lycopodioidoideae Li Bing Zhang & X. M. Zhou,3ba1f4e7d4bba9c1c0bb6401dddcbd3c,01bfe72ea55288f12b02b34d998f9ae0,8e82b2b01e23470a9ea4f2f3f00ae16d,NA,NA,NA
Valdespinoa Li Bing Zhang & X. M. Zhou,genus,accepted,"Plant Diversity, https://doi.org/10.1016/j.pld.2023.07.003 (2023)",Distribution: NW-USA,NA,Lycopodioidoideae Li Bing Zhang & X. M. Zhou,2c0676b559a18fe882c0a8d1bb3e0284,NA,8e82b2b01e23470a9ea4f2f3f00ae16d,NA,NA,NA
Pulvinielloideae Li Bing Zhang & X. M. Zhou,subfamily,accepted,"Plant Diversity, https://doi.org/10.1016/j.pld.2023.07.003 (2023)",NA,NA,Selaginellaceae Rchb.,d212dbba5f4737ef28357f97b1e4b809,NA,358aa463a8fd574c5f5ebb5027a15253,NA,NA,NA
Pulviniella (Li Bing Zhang & X. M. Zhou) Li Bing Zhang & X. M. Zhou,genus,accepted,"Plant Diversity, https://doi.org/10.1016/j.pld.2023.07.003 (2023)","Distribution: scattered almost cosmopolitan, several in China",NA,Pulvinielloideae Li Bing Zhang & X. M. Zhou,4cd6042b5c875094c67c70a541cb0633,NA,d212dbba5f4737ef28357f97b1e4b809,NA,NA,NA
Selaginelloideae Li Bing Zhang & X. M. Zhou,subfamily,accepted,"Plant Diversity, https://doi.org/10.1016/j.pld.2023.07.003 (2023)",NA,NA,Selaginellaceae Rchb.,e0ddd7cbf694db9086c12499e0ee8e31,NA,358aa463a8fd574c5f5ebb5027a15253,NA,NA,NA
Chuselaginella Li Bing Zhang & X. M. Zhou,genus,accepted,"Plant Diversity, https://doi.org/10.1016/j.pld.2023.07.003 (2023)","Distribution: Tropical Asia and Pacific, few S-China, 1 tropical Africa",NA,Selaginelloideae Li Bing Zhang & X. M. Zhou,29f07271430906be451345d01521d24d,NA,e0ddd7cbf694db9086c12499e0ee8e31,NA,NA,NA
Kungiselaginella Li Bing Zhang & X. M. Zhou,genus,accepted,"Plant Diversity, https://doi.org/10.1016/j.pld.2023.07.003 (2023)",Distribution: Tropical Asia to S-China,NA,Selaginelloideae Li Bing Zhang & X. M. Zhou,98cde0ffcb9d2f5a5d815f1f341312e2,NA,e0ddd7cbf694db9086c12499e0ee8e31,NA,NA,NA
Selaginella P. Beauv.,genus,accepted,"Magasin Encycl. 9: 478 (1804) et Prodr. Aethéogam. 101 (1805), s. str.","Distribution: New World, mostly tropical America, only very few tropical Africa. The genus definition relies on a new lectotype for Selaginella by Zhou & Zhang (2023) who did this in order to avoid recombination of this big genus. Whether this will stand, remains to be seen.",NA,Selaginelloideae Li Bing Zhang & X. M. Zhou,be1e7c698c1ae332ba27975856843969,NA,e0ddd7cbf694db9086c12499e0ee8e31,NA,NA,NA
Selago P. Browne,genus,synonym,"Civ. Nat. Hist. Jamaica 82 (1756) (nom. illeg., non Selago L. (1753))",NA,Selaginella P. Beauv.,Selaginelloideae Li Bing Zhang & X. M. Zhou,4dcf07129b8119eb1d31d5fb970f8cb5,be1e7c698c1ae332ba27975856843969,e0ddd7cbf694db9086c12499e0ee8e31,NA,NA,NA
Stachygynandrum P. Beauv.,genus,synonym,Mag. Encycl. 9: 482 (1805),NA,Selaginella P. Beauv.,Selaginelloideae Li Bing Zhang & X. M. Zhou,9ed270e5dc7ed2006ee7aea51031bf5e,be1e7c698c1ae332ba27975856843969,e0ddd7cbf694db9086c12499e0ee8e31,NA,NA,NA
Stachygynandrum P. Beauv. ex Mirb.,genus,synonym,Hist. Nat. Veg. (Lam. & Mirb.) 3: 477 (1803),NA,Selaginella P. Beauv.,Selaginelloideae Li Bing Zhang & X. M. Zhou,a4754835cd16bfa08b99052e6b627a31,be1e7c698c1ae332ba27975856843969,e0ddd7cbf694db9086c12499e0ee8e31,NA,NA,NA
Selaginella s. l.,genus,accepted,NA,"Species which are of unconfirmed status, do obviously not belong to Selaginella s. str. and/or have not yet been reassigned during the split of the genus by Zhou & Zhang (2023)",NA,Selaginelloideae Li Bing Zhang & X. M. Zhou,5172b19f6e411542c41eb849915ad497,NA,e0ddd7cbf694db9086c12499e0ee8e31,NA,NA,NA
Selaginoidoideae Li Bing Zhang & X. M. Zhou,subfamily,accepted,"Plant Diversity, https://doi.org/10.1016/j.pld.2023.07.003 (2023)",NA,NA,Selaginellaceae Rchb.,6af495b9e80bf811d95258d045d86c14,NA,358aa463a8fd574c5f5ebb5027a15253,NA,NA,NA
Selaginoides Ség.,genus,accepted,Pl. Veron. 3: 51. Jul-Dec (1754),"Distribution: Holarctic (1) and Hawaii (1). This includes the previous type of Selaginella. Whether the approach of Zhou & Zhang (2023) to newly lectotypify Selaginella to avoid mass recombinations will be accepted, is not yet decided.",NA,Selaginoidoideae Li Bing Zhang & X. M. Zhou,bbe7ba576be140f4451fc2e0c214f59d,NA,6af495b9e80bf811d95258d045d86c14,NA,NA,NA
Mirmau Adans.,genus,ambiguous synonym,Fam. Pl. 2: 491 (1763),NA,Selaginoides Ség.,Selaginoidoideae Li Bing Zhang & X. M. Zhou,ef67f4124808f516ed9a194d40472bd7,bbe7ba576be140f4451fc2e0c214f59d,6af495b9e80bf811d95258d045d86c14,NA,NA,NA
